,title
0,"[컨콜] 삼성전자 ""갤럭시Z4, 물량 충분히 확보…실기 없이 제품 전달"""
1,"'2Q 이익 감소' 삼성전자 MX, 폴더블폰에 사활 건 배경"
2,"삼성, '폴더블 대중화' 전략으로 스마트폰 불황 정면 돌파"
3,"[스페셜리포트]삼성전자, 반도체 덕 '선방'…폴더블폰서 돌파구 찾는다"
4,성장둔화 삼성 갤럭시 '폴더블'로 반등한다
5,삼성폰 2Q 실적 부진…갤폴드4 출시에도 하반기 역시 '노란불'
6,"글로벌 악재에 실적 접힌 삼성폰, '갤럭시Z4'로 필까"
7,차세대 폴더블폰 1500만대 출하... '갤럭시 생태계' 가전으로 넓힌다 [삼성전자 하반기 전략]
8,"삼성전자, 2분기 스마트폰 선방 불구 우려 확산…하반기는? [IT클로즈업]"
9,"삼성폰, 2분기 영업익 19% 감소한 2.6조…원가·환율 상승 탓(종합)"
10,"'갤S22 흥행'에도 삼성 MX·네트워크 영업익 뒷걸음…""우크라 영향""(종합)"
11,"[IR종합]삼성 '갤Z 폴드4·플립4' 준비 완료…""갤노트 이상 판매량 달성"""
12,"""폴더블폰 본격 대중화할 것""…삼성이 밝힌 하반기 전략은"
13,"삼성전자 ""플래그십 중심으로 어려운 시장환경에 해쳐나갈 것"""
14,"삼성전자 ""하반기 불확실성 지속...신속하고 유연하게 대응할 것"""
15,"삼성, 2분기 모바일·네트워크 영업익 2조6200억원…전년비 19%↓"
16,삼성 MX·네트워크 2분기 매출 29.3조…전년비 29%↑
17,"삼성 MX·네트워크, 2Q 영업익 2.62兆…전년비 20%↓"
18,"삼성전자 모바일, 2분기 매출 늘었지만 수익성 악화 지속"
19,"[삼성전자 2Q 실적] 삼성전자, MX·네트워크 매출 29.3조…수익성은 '뚝'"
20,삼성폰도 악재에 '일보후퇴'…2Q 매출 전분기比 3조원↓…
21,"[컨콜] 삼성전자 ""폴더블폰, 갤럭시노트 이상 판매해 본격 대중화"""
22,삼성폰 2Q 영업익 2.6조원...전년비 19.1%↓
23,"[컨콜] 삼성전자 ""하반기 스마트폰 수요 전망치 하향…플래그십은 성장 지속"""
24,"[컨콜] 삼성전자 ""갤럭시Z4, 출시 물량 충분히 확보…판매 실기 없어"""
25,"[IR]삼성 ""새 폴더블폰 내구성·완성도 높여…충분한 물량 확보"""
